Model_Name,Topology_Vect,Model_arch,LR,TopoDim_concat,TopoDim,Config_file,Augmentation,Augmentation_Type,Train_loss,Train_Acc,Val_Loss,Val_Acc
PI_IMG_1_TBR_DIM0_S_LR,pi_img,TBR_img,0.0001,False,0,,0.5,all,1.504328618299044,"tensor(95.7585, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.2300, device='cuda:0', dtype=torch.float64)"
Land_TBR_10,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.5,topo,1.4952318982784565,"tensor(96.6708, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.2000, device='cuda:0', dtype=torch.float64)"
PI_IMG_49_TR_CONCAT_N_LR,pi_img,TR_img,0.0001,True,1,,0.3,all,1.4881880886944858,"tensor(97.3455, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.2500, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,0,config/TBR_land_small.json,0.3,topo,1.5032282747615466,"tensor(95.8964, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.2300, device='cuda:0', dtype=torch.float64)"
Land_TBR_09,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.5,topo,1.4759463845913228,"tensor(98.5508, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.7300, device='cuda:0', dtype=torch.float64)"
PI_IMG_52_TR_CONCAT_L_LR,pi_img,TR_img,0.0001,True,1,,0.3,all,1.5033529983693903,"tensor(95.8309, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.3600, device='cuda:0', dtype=torch.float64)"
PI_IMG_34_TR_DIM0_L_LR,pi_img,TR_img,0.0001,False,0,,0.5,non-topo,1.499000233078003,"tensor(96.2677, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.1200, device='cuda:0', dtype=torch.float64)"
PI_IMG_1_TBR_DIM0_S_LR,pi_img,TBR_img,0.0001,False,0,,0.3,non-topo,1.493346274549311,"tensor(96.8364, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.5000, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,1,config/TBR_land_small.json,0.3,topo,1.4997225729682229,"tensor(96.2291, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.3200, device='cuda:0', dtype=torch.float64)"
PIV_0_TBR_6,pi_v,TBR,0.0001,False,0,config/TBR_piv.json,0.3,all,1.5516574885108254,"tensor(90.9891, device='cuda:0', dtype=torch.float64)",0.0,"tensor(82.7800, device='cuda:0', dtype=torch.float64)"
